number,value,params_drop_conv2,params_drop_fc1,params_lr,params_num_conv_layers,params_num_filter_0,params_num_filter_1,params_num_filter_2,params_num_neurons,params_optimizer
1,0.7366666793823242,0.38780715835227186,0.36612452521025374,2.104886222180035e-05,3,32.0,112.0,48.0,100,Adam
3,0.7366666793823242,0.373805702101123,0.3111724990112388,0.001239754742355388,2,64.0,128.0,,60,SGD
4,0.7366666793823242,0.25681130387309725,0.4124306013947893,0.0036342815627582025,2,128.0,16.0,,230,SGD
5,0.7366666793823242,0.3706715748921897,0.2517762886717294,0.06496472338715668,3,80.0,80.0,128.0,240,Adam
0,0.7833333611488342,0.45976201533196726,0.2468517331603904,2.4095349548272545e-05,2,128.0,48.0,,260,Adam
35,0.8633333444595337,0.38660859754408416,0.4232864019398084,0.008029696167989169,3,32.0,80.0,80.0,90,Adam
13,0.8633333444595337,0.4998707273642982,0.3142845049744812,0.00039160973347611503,2,48.0,80.0,,110,RMSprop
66,0.8666666746139526,0.41106462561205287,0.37137622259817854,0.00038409557865680475,3,32.0,64.0,48.0,60,RMSprop
16,0.8666666746139526,0.32670382673884946,0.4033731408517341,0.0003376435532089222,2,48.0,48.0,,380,RMSprop
85,0.8666666746139526,0.27966533017073353,0.354289956958018,0.01444125853165656,2,16.0,96.0,,70,Adam
8,0.8666666746139526,0.2209881266561448,0.3550086373687312,0.010683316573590102,3,112.0,96.0,96.0,250,Adam
37,0.8700000047683716,0.2044770548610972,0.36084248122459867,0.022241164088007335,3,16.0,48.0,64.0,160,Adam
11,0.8700000047683716,0.45370679267786584,0.3058689729209352,0.00015483422736756698,2,96.0,96.0,,130,RMSprop
83,0.8700000047683716,0.28940233826303075,0.3402160872272177,0.005136969995135836,2,32.0,80.0,,80,Adam
64,0.8733333349227905,0.25153035754090125,0.32616438813002396,0.009677441612517497,3,64.0,80.0,80.0,20,Adam
63,0.8733333349227905,0.35070969117513856,0.43428278596864517,0.0016180473634829873,3,80.0,48.0,128.0,140,RMSprop
52,0.8733333349227905,0.24266566663830935,0.36397218456802893,0.0011197006484330095,3,80.0,64.0,64.0,70,RMSprop
40,0.8733333349227905,0.2893041617942173,0.2924120503366752,0.0038479072138862566,2,80.0,80.0,,220,RMSprop
23,0.8733333349227905,0.2758754610157532,0.43973670210580384,0.0007656072546147265,3,32.0,32.0,48.0,90,RMSprop
22,0.8733333349227905,0.25098743544962676,0.3950079337036878,0.0009666978817245414,3,32.0,64.0,80.0,40,RMSprop
24,0.8766666650772095,0.20217352244623937,0.38635515452111796,0.0025509792620860873,3,64.0,64.0,48.0,10,RMSprop
2,0.8766666650772095,0.3664547289530461,0.4391965689146877,0.00014229923798025546,3,16.0,64.0,112.0,170,Adam
34,0.8766666650772095,0.22648689185785775,0.37497815731317874,0.0006514595325753923,3,48.0,64.0,48.0,60,RMSprop
10,0.8766666650772095,0.29928564714069605,0.48423295011479855,0.00021861564609486358,3,64.0,32.0,16.0,400,RMSprop
6,0.8799999952316284,0.2423994177110749,0.38256641731202856,0.001335566657127972,3,32.0,64.0,64.0,10,RMSprop
49,0.8799999952316284,0.23218940416810446,0.3833562870714039,0.005229383722965036,3,80.0,64.0,48.0,20,RMSprop
9,0.8833333253860474,0.4287954386633852,0.40168508489127486,6.205893923844378e-05,2,96.0,128.0,,90,RMSprop
33,0.8866666555404663,0.23140529768008994,0.38178432685254865,0.0022963502901834636,3,48.0,64.0,48.0,10,RMSprop
78,0.8866666555404663,0.25545478123921744,0.35895991886517614,0.003406523522078395,2,32.0,80.0,,70,Adam
80,0.8866666555404663,0.23721702234198774,0.3205267454603741,0.0037810913183390768,2,16.0,80.0,,70,Adam
7,0.8866666555404663,0.3132116055026728,0.3118449997293181,0.0003352212333010995,3,64.0,64.0,64.0,80,RMSprop
84,0.8899999856948853,0.2445121185667609,0.36413892820293686,0.009049980105100526,2,16.0,80.0,,70,Adam
